1/27	05	27392
1/27	14	42512
1/27	19	29695
1/27	23	38846
1/28	04	33389
1/28	09	23466
1/28	13	39275
1/28	18	31897
1/28	22	34744
1/29	03	35412
1/29	08	22300
1/29	12	29942
1/29	17	47178
1/29	21	28391
1/30	01	33776
1/30	06	26575
1/30	10	24289
1/30	15	38583
1/31	00	35507
1/31	05	26899
1/31	14	40181
1/31	19	33257
1/31	23	38475
2/1	04	32568
2/1	09	22727
2/1	13	39092
2/1	18	35371
2/1	22	37042
2/2	03	38234
2/2	08	22103
2/2	12	34885
2/2	17	38690
2/2	21	36607
2/3	02	42999
2/3	07	23182
2/3	11	28804
2/3	16	41726
2/3	20	34512
2/4	01	38350
2/4	06	25351
2/4	10	25845
2/4	15	45642
2/5	00	37491
2/5	05	29402
2/5	14	39604
2/5	19	31690
2/5	23	34710
2/6	04	35275
2/6	09	23095
2/6	13	37320
2/6	18	35078
2/6	22	36818
2/7	03	43766
2/7	08	21917
2/7	12	34859
2/7	17	36016
2/7	21	35754
2/8	02	36480
2/8	07	22356
2/8	11	29194
2/8	16	41268
2/8	20	33454
1/23	00	32171
1/23	05	29480
1/23	14	36473
1/23	19	30917
1/23	23	37342
1/24	04	31256
1/24	09	21994
1/24	13	37295
1/24	18	32705
1/24	22	35834
1/25	03	35564
1/25	08	21108
1/25	12	33225
1/25	17	36316
1/25	21	34622
1/26	02	41792
1/26	07	21466
1/26	11	27716
1/26	16	39766
1/26	20	33654
1/27	01	37975
1/27	06	26145
1/27	10	25551
1/27	15	42525
1/28	00	38759
1/28	05	28333
1/28	14	43306
1/28	19	31952
1/28	23	34068
1/29	04	32386
1/29	09	22475
1/29	13	34417
1/29	18	33831
1/29	22	29261
1/30	02	35410
1/30	07	23661
1/30	11	26767
1/30	16	35821
1/30	20	32252
1/31	01	38729
1/31	06	23471
1/31	10	24920
1/31	15	39342
2/1	00	37849
2/1	05	27226
2/1	14	41596
2/1	19	33868
2/1	23	39445
2/2	04	32845
2/2	09	23232
2/2	13	39123
2/2	18	36797
2/2	22	38370
2/3	03	39546
2/3	08	23118
2/3	12	34321
2/3	17	38274
2/3	21	35765
2/4	02	37288
2/4	07	22954
2/4	11	30092
2/4	16	43387
2/4	20	33207
2/5	01	37329
2/5	06	24972
2/5	10	23463
2/5	15	42823
2/6	00	34471
2/6	05	33620
2/6	14	40896
2/6	19	33806
2/6	23	44407
2/7	04	30441
2/7	09	22963
2/7	13	39932
2/7	18	33651
2/7	22	38275
2/8	03	35754
2/8	08	22558
2/8	12	34072
2/8	17	37393
2/8	21	35819
